number,district,id,in_cycle,dist_type,incum_party,incum_last,incum_first,region
1,SD 1,null,no,SD,R,VINCENT,CHAS,Western Montana
2,SD 2,001450005648,yes,SD,R,BROWN,DEE,Kalispell / Whitefish
3,SD 3,001450005654,yes,SD,R,TUTVEDT,BRUCE,Kalispell / Whitefish
4,SD 4,null,no,SD,R,BLASDEL,MARK,Kalispell / Whitefish
5,SD 5,null,no,SD,R,KEENAN,BOB,Kalispell / Whitefish
6,SD 6,001450005666,yes,SD,R,TAYLOR,JANNA,Flathead
7,SD 7,null,no,SD,R,FIELDER,JENNIFER,Western Montana
8,SD 8,null,no,SD,D,WHITFORD,LEA,North-central Montana
9,SD 9,null,no,SD,R,JONES,LLEW,North-central Montana
10,SD 10,001450005643,yes,SD,R,RIPLEY,RICK,Great Falls
11,SD 11,null,no,SD,R,BUTTREY,EDWARD,Great Falls
12,SD 12,null,no,SD,D,MOE,MARY SHEEHY,Great Falls
13,SD 13,null,no,SD,R,HOVEN,BRIAN,Great Falls
14,SD 14,null,no,SD,R,HANSEN,KRISTIN,North-central Montana
15,SD 15,001450005644,yes,SD,D,HAMLETT,BRADLEY MAXON,Central Montana
16,SD 16,001450005645,yes,SD,D,WINDY BOY,JONATHAN,North-central Montana
17,SD 17,001450005646,yes,SD,R,BRENDEN,JOHN,North-central Montana
18,SD 18,001450005647,yes,SD,R,ROSENDALE,MATTHEW,Eastern Montana
19,SD 19,null,no,SD,R,MOORE,FREDERICK ( ERIC ),Eastern Montana
20,SD 20,null,no,SD,R,ANKNEY,DUANE,Eastern Montana
21,SD 21,001450005649,yes,SD,D,STEWART-PEREGOY,SHARON,Eastern Montana
22,SD 22,null,no,SD,R,KARY,DOUG,Billings
23,SD 23,001450005650,yes,SD,R,WEBB,ROGER,Billings
24,SD 24,null,no,SD,D,MCNALLY,MARY,Billings
25,SD 25,001450005651,yes,SD,D,DRISCOLL,ROBYN,Billings
26,SD 26,001450005652,yes,SD,R,ARNTZEN,ELSIE,Billings
27,SD 27,null,no,SD,R,SMITH,CARY,Billings
28,SD 28,001450005653,yes,SD,R,BROWN,TAYLOR,Billings
29,SD 29,null,no,SD,R,HOWARD,DAVID,South-central Montana
30,SD 30,null,no,SD,R,SWANDAL,NELS,South-central Montana
31,SD 31,001450005655,yes,SD,D,PHILLIPS,MIKE,Bozeman
32,SD 32,null,no,SD,R,HINKLE,JEDEDIAH,Bozeman
33,SD 33,null,no,SD,D,POMNICHOWSKI,JP,Bozeman
34,SD 34,null,no,SD,R,VANCE,GORDON,Bozeman
35,SD 35,001450005656,yes,SD,R,SALES,SCOTT,Central Montana
36,SD 36,001450005657,yes,SD,R,BARRETT,DEBBY,Southwest Montana
37,SD 37,001450005658,yes,SD,D,SESSO,JON,Butte / Anaconda
38,SD 38,001450005659,yes,SD,D,KEANE,JIM,Butte / Anaconda
39,SD 39,001450005660,yes,SD,D,VUCKOVICH,GENE,Butte / Anaconda
40,SD 40,001450005661,yes,SD,D,KAUFMANN,CHRISTINE,Helena
41,SD 41,null,no,SD,D,CAFERRO,MARY,Helena
42,SD 42,null,no,SD,D,COHENOUR,JILL,Helena
43,SD 43,null,no,SD,R,CONNELL,PAT,Western Montana
44,SD 44,001450005662,yes,SD,R,THOMAS,FRED,Western Montana
45,SD 45,001450005663,yes,SD,D,BARRETT,DICK,Missoula
46,SD 46,001450005664,yes,SD,D,MALEK,SUE,Missoula
47,SD 47,001450005665,yes,SD,D,LARSEN,CLIFF,Missoula
48,SD 48,null,no,SD,D,WOLKEN,CYNTHIA,Missoula
49,SD 49,null,no,SD,D,SANDS,DIANE,Missoula
50,SD 50,null,no,SD,D,FACEY,TOM,Missoula