HD,SD
HD 1,SD 1
HD 2,SD 1
HD 3,SD 2
HD 4,SD 2
HD 5,SD 3
HD 6,SD 3
HD 7,SD 4
HD 8,SD 4
HD 9,SD 5
HD 10,SD 5
HD 11,SD 6
HD 12,SD 6
HD 13,SD 7
HD 14,SD 7
HD 15,SD 8
HD 16,SD 8
HD 17,SD 9
HD 18,SD 9
HD 19,SD 10
HD 20,SD 10
HD 21,SD 11
HD 22,SD 11
HD 23,SD 12
HD 24,SD 12
HD 25,SD 13
HD 26,SD 13
HD 27,SD 14
HD 28,SD 14
HD 29,SD 15
HD 30,SD 15
HD 31,SD 16
HD 32,SD 16
HD 33,SD 17
HD 34,SD 17
HD 35,SD 18
HD 36,SD 18
HD 37,SD 19
HD 38,SD 19
HD 39,SD 20
HD 40,SD 20
HD 41,SD 21
HD 42,SD 21
HD 43,SD 22
HD 44,SD 22
HD 45,SD 23
HD 46,SD 23
HD 47,SD 24
HD 48,SD 24
HD 49,SD 25
HD 50,SD 25
HD 51,SD 26
HD 52,SD 26
HD 53,SD 27
HD 54,SD 27
HD 55,SD 28
HD 56,SD 28
HD 57,SD 29
HD 58,SD 29
HD 59,SD 30
HD 60,SD 30
HD 61,SD 31
HD 62,SD 31
HD 63,SD 32
HD 64,SD 32
HD 65,SD 33
HD 66,SD 33
HD 67,SD 34
HD 68,SD 34
HD 69,SD 35
HD 70,SD 35
HD 71,SD 36
HD 72,SD 36
HD 73,SD 37
HD 74,SD 37
HD 75,SD 38
HD 76,SD 38
HD 77,SD 39
HD 78,SD 39
HD 79,SD 40
HD 80,SD 40
HD 81,SD 41
HD 82,SD 41
HD 83,SD 42
HD 84,SD 42
HD 85,SD 43
HD 86,SD 43
HD 87,SD 44
HD 88,SD 44
HD 89,SD 45
HD 90,SD 45
HD 91,SD 46
HD 92,SD 46
HD 93,SD 47
HD 94,SD 47
HD 95,SD 48
HD 96,SD 48
HD 97,SD 49
HD 98,SD 49
HD 99,SD 50
HD 100,SD 50