number,type,id,in_cycle,
1,HD,001450005518,yes,
2,HD,001450005530,yes,
3,HD,001450005541,yes,
4,HD,001450005552,yes,
5,HD,001450005563,yes,
6,HD,001450005574,yes,
7,HD,001450005585,yes,
8,HD,001450005596,yes,
9,HD,001450005607,yes,
10,HD,001450005519,yes,
11,HD,001450005521,yes,
12,HD,001450005522,yes,
13,HD,001450005523,yes,
14,HD,001450005524,yes,
15,HD,001450005525,yes,
16,HD,001450005526,yes,
17,HD,001450005527,yes,
18,HD,001450005528,yes,
19,HD,001450005529,yes,
20,HD,001450005531,yes,
21,HD,001450005532,yes,
22,HD,001450005533,yes,
23,HD,001450005534,yes,
24,HD,001450005535,yes,
25,HD,001450005536,yes,
26,HD,001450005537,yes,
27,HD,001450005538,yes,
28,HD,001450005539,yes,
29,HD,001450005540,yes,
30,HD,001450005542,yes,
31,HD,001450005543,yes,
32,HD,001450005544,yes,
33,HD,001450005545,yes,
34,HD,001450005546,yes,
35,HD,001450005547,yes,
36,HD,001450005548,yes,
37,HD,001450005549,yes,
38,HD,001450005550,yes,
39,HD,001450005551,yes,
40,HD,001450005553,yes,
41,HD,001450005554,yes,
42,HD,001450005555,yes,
43,HD,001450005556,yes,
44,HD,001450005557,yes,
45,HD,001450005558,yes,
46,HD,001450005559,yes,
47,HD,001450005560,yes,
48,HD,001450005561,yes,
49,HD,001450005562,yes,
50,HD,001450005564,yes,
51,HD,001450005565,yes,
52,HD,001450005566,yes,
53,HD,001450005567,yes,
54,HD,001450005568,yes,
55,HD,001450005569,yes,
56,HD,001450005570,yes,
57,HD,001450005571,yes,missing from data?
58,HD,001450005572,yes,missing from data?
59,HD,001450005573,yes,missing from data?
60,HD,001450005575,yes,
61,HD,001450005576,yes,
62,HD,001450005577,yes,
63,HD,001450005578,yes,
64,HD,001450005579,yes,
65,HD,001450005580,yes,
66,HD,001450005581,yes,
67,HD,001450005582,yes,
68,HD,001450005583,yes,
69,HD,001450005584,yes,
70,HD,001450005586,yes,
71,HD,001450005587,yes,
72,HD,001450005588,yes,
73,HD,001450005589,yes,
74,HD,001450005590,yes,
75,HD,001450005591,yes,
76,HD,001450005592,yes,
77,HD,001450005593,yes,
78,HD,001450005594,yes,
79,HD,001450005595,yes,
80,HD,001450005597,yes,
81,HD,001450005598,yes,
82,HD,001450005599,yes,
83,HD,001450005600,yes,
84,HD,001450005601,yes,
85,HD,001450005602,yes,
86,HD,001450005603,yes,
87,HD,001450005604,yes,
88,HD,001450005605,yes,
89,HD,001450005606,yes,
90,HD,001450005608,yes,
91,HD,001450005609,yes,
92,HD,001450005610,yes,
93,HD,001450005611,yes,
94,HD,001450005612,yes,
95,HD,001450005613,yes,
96,HD,001450005614,yes,
97,HD,001450005615,yes,
98,HD,001450005616,yes,
99,HD,001450005617,yes,
100,HD,001450005520,yes,
1, SD,null,no,
2, SD,001450005648,yes,
3, SD,001450005654,yes,
4, SD,null,no,
5, SD,null,no,
6, SD,001450005666,yes,
7, SD,null,no,
8, SD,null,no,
9, SD,null,no,
10, SD,001450005643,yes,
11, SD,null,no,
12, SD,null,no,
13, SD,null,no,
14, SD,null,no,
15, SD,001450005644,yes,
16, SD,001450005645,yes,
17, SD,001450005646,yes,
18, SD,001450005647,yes,
19, SD,null,no,
20, SD,null,no,
21, SD,001450005649,yes,
22, SD,null,no,
23, SD,001450005650,yes,
24, SD,null,no,
25, SD,001450005651,yes,
26, SD,001450005652,yes,
27, SD,null,no,
28, SD,001450005653,yes,
29, SD,null,no,
30, SD,null,no,
31, SD,001450005655,yes,
32, SD,null,no,
33, SD,null,no,
34, SD,null,no,
35, SD,001450005656,yes,
36, SD,001450005657,yes,
37, SD,001450005658,yes,
38, SD,001450005659,yes,
39, SD,001450005660,yes,
40, SD,001450005661,yes,
41, SD,null,no,
42, SD,null,no,
43, SD,null,no,
44, SD,001450005662,yes,
45, SD,001450005663,yes,
46, SD,001450005664,yes,
47, SD,001450005665,yes,
48, SD,null,no,
49, SD,null,no,
50, SD,null,no,